interaccion_id,cliente_id,canal_id,fecha_id,motivo,resuelto_1ra,duracion_seg,agente_id,escalado
53,212,1,20250228,Consulta saldo,0,55,12,0
54,416,4,20250326,Inversiones,0,284,18,1
55,103,2,20250604,Bloqueo tarjeta,1,866,30,0
56,338,3,20250310,Consulta saldo,0,227,26,1
57,348,3,20250131,Bloqueo tarjeta,1,893,35,0
58,298,1,20250331,Consulta saldo,0,301,3,1
59,262,3,20250412,Transferencias,1,148,25,0
60,474,1,20250507,Consulta saldo,1,855,35,0
61,221,4,20250624,Consulta saldo,1,101,43,0
62,154,1,20250320,Crédito,0,549,20,0
63,341,3,20250313,Consulta saldo,1,418,44,0
64,427,1,20250629,Bloqueo tarjeta,1,30,20,0
65,239,2,20250307,Transferencias,1,482,29,0
66,377,2,20250607,Cuenta nueva,0,203,43,1
67,385,2,20250522,Crédito,1,270,44,0
68,244,3,20250308,Consulta saldo,1,655,50,0
69,357,2,20250115,Consulta saldo,1,423,32,0
70,441,1,20250408,Inversiones,1,818,7,0
71,26,1,20250408,Bloqueo tarjeta,0,600,16,0
72,287,1,20250115,Transferencias,1,639,21,0
73,465,3,20250420,Bloqueo tarjeta,0,591,29,0
74,327,2,20250628,Consulta saldo,1,313,50,0
75,147,2,20250516,Consulta saldo,1,270,18,0
76,197,4,20250311,Consulta saldo,1,740,10,0
77,213,1,20250607,Transferencias,1,93,14,0
78,439,4,20250413,Transferencias,1,813,37,0
79,437,1,20250416,Crédito,1,885,27,0
80,250,3,20250524,Inversiones,0,254,18,0
81,85,1,20250113,Bloqueo tarjeta,1,890,30,0
82,340,2,20250220,Transferencias,0,57,6,0
83,109,2,20250228,Bloqueo tarjeta,1,495,21,0
84,216,4,20250325,Cuenta nueva,1,288,6,0
85,115,3,20250401,Cuenta nueva,1,695,5,0
86,11,3,20250602,Consulta saldo,0,666,10,1
87,132,1,20250422,Bloqueo tarjeta,0,815,24,1
88,494,3,20250531,Crédito,1,348,7,0
89,193,4,20250501,Inversiones,1,436,46,0
90,357,2,20250203,Consulta saldo,0,821,20,0
91,178,1,20250526,Crédito,0,575,28,0
92,251,2,20250117,Bloqueo tarjeta,1,138,28,0
93,91,4,20250321,Consulta saldo,1,781,34,0
94,239,2,20250609,Crédito,0,476,47,0
95,231,1,20250328,Consulta saldo,0,279,49,0
96,94,1,20250522,Crédito,1,529,14,0
97,451,1,20250326,Transferencias,1,312,36,0
98,251,4,20250117,Crédito,1,598,49,0
99,9,2,20250223,Bloqueo tarjeta,1,125,19,0
100,243,3,20250213,Transferencias,1,596,34,0
101,233,4,20250314,Bloqueo tarjeta,1,307,20,0
102,275,1,20250308,Consulta saldo,1,810,45,0
103,390,1,20250207,Crédito,1,567,39,0
104,155,3,20250304,Bloqueo tarjeta,1,44,46,0
105,358,1,20250505,Transferencias,0,159,41,0
106,226,4,20250404,Bloqueo tarjeta,1,378,12,0
107,206,4,20250109,Crédito,1,533,5,0
108,486,3,20250521,Crédito,1,341,6,0
109,317,2,20250204,Transferencias,1,261,50,0
110,220,2,20250513,Inversiones,1,342,37,0
111,107,2,20250502,Cuenta nueva,0,670,14,1
112,210,1,20250106,Consulta saldo,1,491,45,0
113,360,1,20250516,Transferencias,1,494,5,0
114,339,4,20250608,Transferencias,0,853,13,0
115,37,2,20250508,Crédito,0,91,11,0
116,240,3,20250524,Bloqueo tarjeta,0,735,20,0
117,456,2,20250317,Transferencias,1,472,48,0
118,429,1,20250320,Reclamo,1,619,38,0
119,388,3,20250125,Consulta saldo,1,209,31,0
120,224,2,20250521,Otro,1,680,32,0
121,440,1,20250116,Transferencias,1,194,22,0
122,390,2,20250423,Bloqueo tarjeta,1,593,3,0
123,207,1,20250403,Reclamo,1,556,1,0
124,186,2,20250628,Consulta saldo,1,667,49,0
125,68,2,20250421,Consulta saldo,1,324,29,0
126,123,1,20250616,Transferencias,0,756,11,1
127,59,2,20250118,Crédito,1,502,8,0
128,362,1,20250627,Consulta saldo,0,309,27,0
129,307,2,20250408,Consulta saldo,1,550,48,0
130,175,1,20250228,Crédito,0,836,33,1
131,338,3,20250110,Transferencias,0,531,10,0
132,478,1,20250412,Bloqueo tarjeta,0,359,13,0
133,163,2,20250219,Bloqueo tarjeta,0,792,31,0
134,78,4,20250413,Transferencias,0,537,3,1
135,270,4,20250511,Bloqueo tarjeta,0,497,1,0
136,497,2,20250428,Bloqueo tarjeta,1,301,22,0
137,346,2,20250523,Bloqueo tarjeta,1,576,25,0
138,19,3,20250321,Inversiones,0,662,5,1
139,51,1,20250630,Consulta saldo,1,808,41,0
140,15,1,20250628,Consulta saldo,1,77,21,0
141,211,1,20250110,Consulta saldo,1,609,44,0
142,350,1,20250206,Bloqueo tarjeta,1,276,32,0
143,342,1,20250505,Bloqueo tarjeta,1,39,30,0
144,301,2,20250322,Cuenta nueva,1,336,41,0
145,197,1,20250423,Consulta saldo,0,524,7,1
146,425,2,20250512,Consulta saldo,0,704,26,1
147,311,3,20250528,Consulta saldo,0,793,32,0
148,326,3,20250325,Bloqueo tarjeta,1,224,40,0
149,71,3,20250322,Transferencias,0,673,7,0
150,375,1,20250602,Transferencias,1,164,6,0
151,277,3,20250311,Consulta saldo,1,404,34,0
152,484,1,20250530,Inversiones,1,523,19,0
153,73,1,20250628,Reclamo,1,802,15,0
154,286,3,20250624,Crédito,1,404,6,0
155,384,1,20250401,Bloqueo tarjeta,1,718,17,0
156,120,3,20250513,Consulta saldo,0,512,2,0
157,422,4,20250511,Consulta saldo,1,505,45,0
158,156,2,20250321,Cuenta nueva,1,534,8,0
159,344,4,20250108,Bloqueo tarjeta,1,790,45,0
160,336,2,20250514,Inversiones,1,131,32,0
161,112,4,20250514,Transferencias,1,484,29,0
162,462,1,20250228,Bloqueo tarjeta,0,690,23,1
163,47,4,20250307,Crédito,0,708,14,0
164,403,1,20250501,Reclamo,1,608,14,0
165,446,3,20250127,Consulta saldo,1,268,22,0
166,75,4,20250226,Crédito,1,163,35,0
167,8,1,20250326,Consulta saldo,1,396,16,0
168,216,1,20250511,Consulta saldo,1,568,8,0
169,56,2,20250603,Bloqueo tarjeta,0,492,33,1
170,155,3,20250502,Transferencias,0,499,42,0
171,365,3,20250116,Consulta saldo,1,484,5,0
172,325,2,20250111,Consulta saldo,1,629,36,0
173,259,2,20250611,Consulta saldo,1,649,28,0
174,394,3,20250126,Transferencias,0,594,47,0
175,205,4,20250415,Crédito,1,455,47,0
176,79,2,20250111,Bloqueo tarjeta,1,733,31,0
177,379,3,20250103,Consulta saldo,1,411,9,0
178,63,2,20250502,Bloqueo tarjeta,1,450,23,0
179,148,2,20250625,Consulta saldo,0,644,20,1
180,56,1,20250517,Consulta saldo,1,388,36,0
181,433,3,20250304,Crédito,1,604,50,0
182,337,3,20250520,Transferencias,1,879,45,0
183,174,1,20250301,Consulta saldo,1,389,1,0
184,380,1,20250228,Consulta saldo,1,678,2,0
185,81,2,20250124,Bloqueo tarjeta,1,408,20,0
186,27,3,20250611,Consulta saldo,1,189,11,0
187,249,3,20250502,Transferencias,1,651,29,0
188,57,1,20250409,Bloqueo tarjeta,1,320,44,0
189,203,2,20250619,Consulta saldo,1,643,4,0
190,131,1,20250107,Consulta saldo,1,326,21,0
191,273,2,20250101,Consulta saldo,1,750,15,0
192,442,3,20250518,Consulta saldo,0,789,3,0
193,208,1,20250430,Bloqueo tarjeta,1,756,41,0
194,411,1,20250410,Bloqueo tarjeta,1,662,30,0
195,224,1,20250630,Consulta saldo,1,633,26,0
196,171,2,20250503,Bloqueo tarjeta,1,827,11,0
197,398,2,20250117,Consulta saldo,1,387,23,0
198,132,2,20250627,Consulta saldo,1,232,12,0
199,396,3,20250505,Consulta saldo,1,673,32,0
200,452,2,20250425,Transferencias,1,608,42,0
201,226,1,20250620,Bloqueo tarjeta,0,99,31,0
202,159,1,20250326,Bloqueo tarjeta,1,502,29,0
203,438,1,20250102,Transferencias,1,122,40,0
204,379,2,20250517,Cuenta nueva,1,72,29,0
205,491,1,20250521,Bloqueo tarjeta,1,93,29,0
206,259,4,20250126,Crédito,1,691,12,0
207,313,3,20250108,Bloqueo tarjeta,0,192,24,1
208,405,2,20250313,Transferencias,1,676,42,0
209,130,1,20250303,Bloqueo tarjeta,1,771,43,0
210,470,1,20250528,Transferencias,1,388,20,0
211,44,2,20250623,Transferencias,1,347,36,0
212,425,3,20250421,Transferencias,0,786,44,0
213,159,3,20250121,Consulta saldo,1,214,14,0
214,80,3,20250331,Otro,1,109,19,0
215,20,3,20250117,Inversiones,0,707,22,0
216,355,2,20250505,Consulta saldo,1,819,40,0
217,122,2,20250224,Transferencias,1,484,40,0
218,159,3,20250325,Transferencias,1,858,31,0
219,394,3,20250212,Bloqueo tarjeta,1,318,50,0
220,411,2,20250417,Crédito,0,649,9,0
221,365,2,20250121,Cuenta nueva,1,896,34,0
222,263,1,20250110,Bloqueo tarjeta,1,180,28,0
223,477,4,20250131,Inversiones,0,57,27,1
224,15,1,20250512,Bloqueo tarjeta,0,356,7,0
225,425,3,20250611,Consulta saldo,1,513,45,0
226,41,3,20250225,Consulta saldo,1,49,17,0
227,217,1,20250227,Transferencias,0,143,50,1
228,235,1,20250304,Crédito,1,94,8,0
229,368,2,20250420,Transferencias,1,177,19,0
230,341,2,20250401,Bloqueo tarjeta,1,714,6,0
231,260,1,20250512,Bloqueo tarjeta,1,597,2,0
232,130,2,20250428,Reclamo,1,795,2,0
233,54,1,20250326,Transferencias,1,820,38,0
234,417,1,20250625,Transferencias,1,688,12,0
235,70,4,20250615,Consulta saldo,1,94,46,0
236,22,1,20250402,Consulta saldo,1,353,20,0
237,386,4,20250513,Consulta saldo,1,692,13,0
238,140,4,20250312,Transferencias,1,157,24,0
239,174,2,20250429,Cuenta nueva,1,221,32,0
240,43,1,20250616,Consulta saldo,0,774,28,1
241,168,1,20250527,Consulta saldo,1,706,19,0
242,180,2,20250315,Transferencias,1,487,3,0
243,328,4,20250628,Bloqueo tarjeta,1,840,4,0
244,348,2,20250122,Crédito,1,193,2,0
245,35,2,20250228,Consulta saldo,0,271,50,0
246,231,4,20250313,Consulta saldo,1,409,24,0
247,161,1,20250425,Bloqueo tarjeta,1,695,18,0
248,468,1,20250204,Bloqueo tarjeta,1,605,8,0
249,147,1,20250325,Otro,1,740,32,0
250,366,1,20250204,Consulta saldo,1,485,6,0
251,282,4,20250628,Transferencias,1,585,19,0
252,90,1,20250328,Transferencias,1,842,24,0
253,405,1,20250508,Consulta saldo,1,535,2,0
254,67,2,20250318,Reclamo,1,656,6,0
255,211,2,20250110,Bloqueo tarjeta,1,817,27,0
256,239,1,20250503,Consulta saldo,1,726,34,0
257,94,4,20250305,Transferencias,0,816,9,0
258,166,1,20250127,Consulta saldo,1,756,15,0
259,129,4,20250331,Crédito,0,231,41,0
260,329,2,20250305,Consulta saldo,1,202,38,0
261,173,1,20250505,Inversiones,1,892,37,0
262,395,4,20250127,Cuenta nueva,1,620,17,0
263,255,3,20250607,Transferencias,1,672,35,0
264,351,4,20250321,Crédito,1,445,20,0
265,238,3,20250403,Bloqueo tarjeta,1,238,22,0
266,441,1,20250505,Crédito,1,383,26,0
267,239,1,20250225,Bloqueo tarjeta,1,155,18,0
268,443,1,20250408,Cuenta nueva,1,660,27,0
269,370,4,20250228,Cuenta nueva,0,350,13,0
270,47,2,20250417,Bloqueo tarjeta,0,432,33,0
271,306,2,20250207,Consulta saldo,1,893,42,0
272,69,1,20250616,Consulta saldo,1,300,47,0
273,288,2,20250325,Consulta saldo,1,229,24,0
274,144,1,20250510,Crédito,1,875,40,0
275,407,1,20250620,Bloqueo tarjeta,0,377,36,0
276,20,2,20250207,Consulta saldo,1,170,46,0
277,264,2,20250326,Transferencias,1,173,21,0
278,154,1,20250511,Crédito,0,637,22,0
279,9,2,20250518,Bloqueo tarjeta,1,407,22,0
280,372,4,20250604,Crédito,1,734,41,0
281,398,2,20250120,Crédito,0,622,37,1
282,397,2,20250119,Crédito,1,891,25,0
283,57,3,20250227,Cuenta nueva,1,225,2,0
284,257,2,20250411,Consulta saldo,1,823,40,0
285,266,3,20250428,Transferencias,1,242,36,0
286,236,2,20250322,Cuenta nueva,1,575,22,0
287,412,3,20250512,Transferencias,0,739,17,0
288,153,1,20250208,Cuenta nueva,1,819,19,0
289,287,3,20250607,Bloqueo tarjeta,1,844,47,0
290,203,1,20250310,Bloqueo tarjeta,1,868,23,0
291,474,1,20250210,Consulta saldo,0,482,42,1
292,357,1,20250407,Cuenta nueva,1,308,9,0
293,464,3,20250120,Consulta saldo,1,573,15,0
294,52,1,20250608,Crédito,1,727,50,0
295,335,4,20250201,Consulta saldo,0,517,31,0
296,334,1,20250311,Crédito,1,617,15,0
297,90,3,20250524,Inversiones,0,457,12,0
298,493,2,20250127,Cuenta nueva,1,326,3,0
299,146,2,20250110,Reclamo,1,495,42,0
300,240,2,20250517,Crédito,0,309,13,0
301,8,3,20250306,Crédito,1,784,22,0
302,328,3,20250319,Transferencias,1,445,28,0
303,72,1,20250511,Consulta saldo,1,518,21,0
304,489,1,20250201,Crédito,1,367,20,0
305,121,2,20250524,Bloqueo tarjeta,1,93,43,0
306,459,1,20250115,Bloqueo tarjeta,1,750,50,0
307,315,1,20250323,Consulta saldo,0,256,15,0
308,360,2,20250405,Bloqueo tarjeta,0,592,31,0
309,448,1,20250627,Crédito,1,836,6,0
310,58,2,20250515,Inversiones,1,93,36,0
311,267,2,20250507,Bloqueo tarjeta,1,482,8,0
312,229,3,20250607,Inversiones,1,858,4,0
313,237,2,20250405,Consulta saldo,1,718,20,0
314,297,2,20250601,Crédito,0,104,3,0
315,479,2,20250603,Inversiones,1,513,3,0
316,374,1,20250314,Transferencias,1,691,27,0
317,193,2,20250329,Inversiones,0,112,44,0
318,276,2,20250505,Consulta saldo,1,432,34,0
319,153,4,20250224,Crédito,0,504,44,0
320,80,1,20250418,Bloqueo tarjeta,1,312,13,0
321,393,1,20250625,Bloqueo tarjeta,0,46,16,1
322,25,1,20250120,Transferencias,1,280,48,0
323,398,2,20250113,Crédito,1,87,9,0
324,296,1,20250510,Transferencias,0,642,50,0
325,114,1,20250308,Transferencias,1,453,20,0
326,90,2,20250302,Crédito,1,671,44,0
327,344,2,20250418,Cuenta nueva,0,420,34,1
328,243,1,20250414,Crédito,1,276,15,0
329,288,3,20250328,Inversiones,0,452,27,0
330,473,1,20250213,Transferencias,1,490,24,0
331,345,3,20250118,Consulta saldo,1,649,39,0
332,344,1,20250128,Transferencias,0,602,14,0
333,493,4,20250310,Cuenta nueva,1,789,8,0
334,105,2,20250625,Transferencias,1,436,16,0
335,184,3,20250511,Transferencias,1,345,17,0
336,370,4,20250317,Crédito,1,510,49,0
337,443,1,20250330,Consulta saldo,1,256,48,0
338,214,1,20250201,Transferencias,0,332,10,1
339,484,2,20250213,Transferencias,1,731,22,0
340,252,3,20250325,Transferencias,0,501,11,0
341,456,1,20250306,Consulta saldo,1,585,42,0
342,343,1,20250117,Cuenta nueva,0,79,49,1
343,112,2,20250227,Consulta saldo,1,547,30,0
344,248,2,20250302,Transferencias,1,705,32,0
345,370,2,20250101,Consulta saldo,1,311,35,0
346,482,2,20250301,Bloqueo tarjeta,1,213,7,0
347,418,1,20250117,Bloqueo tarjeta,1,392,18,0
348,357,1,20250403,Transferencias,1,261,20,0
349,389,3,20250627,Crédito,1,62,6,0
350,360,1,20250413,Transferencias,1,205,6,0
351,440,2,20250428,Transferencias,0,127,34,0
352,139,4,20250207,Transferencias,1,77,5,0
353,92,1,20250630,Transferencias,1,900,21,0
354,421,1,20250131,Crédito,1,437,5,0
355,347,2,20250306,Crédito,1,583,22,0
356,41,3,20250425,Transferencias,0,542,48,0
357,394,2,20250104,Bloqueo tarjeta,0,658,39,1
358,117,2,20250301,Bloqueo tarjeta,0,394,36,0
359,317,3,20250406,Consulta saldo,1,332,16,0
360,325,1,20250603,Crédito,1,187,48,0
361,228,1,20250411,Cuenta nueva,1,398,49,0
362,285,1,20250304,Bloqueo tarjeta,1,554,27,0
363,402,1,20250101,Transferencias,1,362,25,0
364,287,2,20250110,Crédito,0,278,37,0
365,75,1,20250613,Consulta saldo,1,94,11,0
366,129,2,20250409,Consulta saldo,1,282,47,0
367,156,2,20250616,Consulta saldo,1,36,26,0
368,172,2,20250327,Bloqueo tarjeta,0,470,42,0
369,161,1,20250210,Consulta saldo,0,211,26,0
370,125,3,20250324,Transferencias,1,363,25,0
371,103,3,20250327,Cuenta nueva,1,636,35,0
372,483,3,20250222,Crédito,1,755,14,0
373,408,1,20250426,Crédito,1,844,27,0
374,79,1,20250616,Consulta saldo,1,762,28,0
375,274,2,20250403,Transferencias,1,548,45,0
376,416,1,20250418,Transferencias,0,579,39,0
377,332,3,20250104,Bloqueo tarjeta,1,657,3,0
378,495,3,20250521,Crédito,1,845,28,0
379,286,1,20250101,Crédito,1,624,45,0
380,302,2,20250508,Crédito,1,737,33,0
381,472,4,20250212,Consulta saldo,1,117,8,0
382,267,1,20250605,Crédito,1,524,23,0
383,154,2,20250404,Bloqueo tarjeta,1,75,46,0
384,85,3,20250101,Transferencias,1,788,16,0
385,237,2,20250506,Bloqueo tarjeta,1,267,26,0
386,378,1,20250606,Bloqueo tarjeta,1,658,13,0
387,143,2,20250419,Consulta saldo,1,800,46,0
388,167,1,20250119,Consulta saldo,0,231,30,1
389,199,2,20250628,Bloqueo tarjeta,0,655,26,0
390,362,3,20250312,Crédito,1,849,20,0
391,157,1,20250519,Consulta saldo,1,149,12,0
392,295,1,20250323,Transferencias,1,422,28,0
393,89,2,20250216,Transferencias,1,598,11,0
394,28,1,20250410,Bloqueo tarjeta,1,397,1,0
395,335,1,20250405,Transferencias,1,536,27,0
396,43,2,20250616,Bloqueo tarjeta,0,608,2,0
397,400,1,20250210,Consulta saldo,1,498,37,0
398,59,3,20250625,Consulta saldo,1,304,50,0
399,390,4,20250527,Crédito,1,766,29,0
400,385,4,20250507,Crédito,1,283,20,0
401,444,1,20250115,Consulta saldo,0,150,50,0
402,313,3,20250226,Inversiones,1,677,28,0
403,31,1,20250220,Consulta saldo,1,613,23,0
404,150,2,20250509,Reclamo,1,326,37,0
405,49,4,20250331,Transferencias,0,168,49,0
406,128,4,20250109,Inversiones,1,179,46,0
407,73,1,20250327,Bloqueo tarjeta,0,621,41,1
408,48,2,20250413,Inversiones,1,442,33,0
409,250,3,20250609,Bloqueo tarjeta,0,365,38,1
410,184,3,20250603,Transferencias,1,900,5,0
411,138,1,20250513,Consulta saldo,1,360,19,0
412,176,2,20250318,Bloqueo tarjeta,1,728,49,0
413,64,1,20250102,Bloqueo tarjeta,0,191,29,0
414,155,4,20250407,Inversiones,0,192,18,1
415,27,1,20250309,Transferencias,1,435,41,0
416,361,3,20250324,Transferencias,1,127,1,0
417,228,1,20250216,Bloqueo tarjeta,1,39,1,0
418,68,3,20250611,Bloqueo tarjeta,0,519,5,1
419,154,3,20250124,Bloqueo tarjeta,1,170,25,0
420,5,4,20250221,Transferencias,1,654,42,0
421,471,1,20250215,Crédito,1,451,40,0
422,386,4,20250615,Consulta saldo,1,156,38,0
423,127,1,20250613,Crédito,1,313,42,0
424,399,2,20250108,Transferencias,1,737,2,0
425,383,1,20250629,Bloqueo tarjeta,1,431,19,0
426,198,3,20250602,Consulta saldo,0,145,16,0
427,479,2,20250503,Reclamo,0,354,9,1
428,489,1,20250514,Crédito,1,818,5,0
429,31,1,20250119,Consulta saldo,1,838,26,0
430,360,2,20250510,Bloqueo tarjeta,1,441,6,0
431,41,2,20250618,Consulta saldo,1,553,14,0
432,333,1,20250218,Crédito,1,727,42,0
433,30,3,20250110,Crédito,1,280,6,0
434,380,2,20250404,Consulta saldo,1,703,48,0
435,255,1,20250204,Consulta saldo,1,385,34,0
436,384,3,20250526,Bloqueo tarjeta,1,829,18,0
437,220,1,20250629,Bloqueo tarjeta,0,308,34,1
438,29,2,20250619,Bloqueo tarjeta,1,541,37,0
439,346,1,20250212,Inversiones,0,770,8,1
440,242,1,20250501,Consulta saldo,0,402,25,0
441,336,1,20250228,Crédito,0,459,15,1
442,191,3,20250430,Consulta saldo,1,152,33,0
443,24,1,20250629,Bloqueo tarjeta,1,440,5,0
444,284,1,20250428,Bloqueo tarjeta,0,497,1,1
445,189,3,20250319,Consulta saldo,1,635,32,0
446,4,4,20250224,Consulta saldo,0,449,2,1
447,1,3,20250321,Cuenta nueva,0,807,43,1
448,215,1,20250624,Reclamo,1,533,4,0
449,433,1,20250223,Consulta saldo,1,562,27,0
450,49,1,20250629,Consulta saldo,0,547,9,0
451,67,2,20250403,Transferencias,1,272,19,0
452,377,1,20250328,Transferencias,0,364,21,0
453,56,4,20250203,Crédito,1,189,7,0
454,494,2,20250215,Transferencias,1,818,14,0
455,414,2,20250410,Consulta saldo,0,732,20,0
456,47,1,20250620,Bloqueo tarjeta,0,758,16,0
457,90,1,20250417,Crédito,1,61,26,0
458,412,3,20250418,Bloqueo tarjeta,1,842,9,0
459,102,1,20250101,Consulta saldo,0,873,26,1
460,39,1,20250621,Inversiones,1,52,5,0
461,425,2,20250221,Inversiones,1,858,22,0
462,222,4,20250102,Cuenta nueva,1,871,47,0
463,110,1,20250416,Consulta saldo,1,221,18,0
464,126,4,20250315,Transferencias,1,692,19,0
465,197,4,20250414,Consulta saldo,1,170,27,0
466,411,4,20250221,Transferencias,1,586,2,0
467,177,3,20250426,Crédito,1,609,33,0
468,16,1,20250313,Transferencias,1,860,50,0
469,300,3,20250302,Bloqueo tarjeta,1,268,11,0
470,470,2,20250108,Crédito,1,784,4,0
471,430,3,20250219,Bloqueo tarjeta,0,895,12,1
472,15,3,20250511,Inversiones,1,750,45,0
473,429,2,20250331,Cuenta nueva,1,859,32,0
474,309,1,20250510,Consulta saldo,1,254,2,0
475,67,1,20250516,Consulta saldo,0,378,46,1
476,397,1,20250302,Inversiones,1,143,34,0
477,301,1,20250331,Transferencias,1,133,22,0
478,406,1,20250311,Cuenta nueva,1,684,32,0
479,476,1,20250611,Transferencias,0,658,23,1
480,66,1,20250527,Transferencias,1,211,47,0
481,395,3,20250131,Crédito,1,611,3,0
482,328,1,20250220,Transferencias,0,609,7,0
483,86,3,20250211,Reclamo,1,681,6,0
484,136,2,20250622,Bloqueo tarjeta,0,244,16,0
485,225,3,20250309,Consulta saldo,1,780,27,0
486,52,2,20250214,Transferencias,1,878,31,0
487,410,3,20250521,Bloqueo tarjeta,1,896,3,0
488,88,1,20250301,Consulta saldo,0,414,11,0
489,315,4,20250531,Transferencias,1,524,46,0
490,81,4,20250114,Inversiones,1,84,7,0
491,474,4,20250307,Transferencias,1,777,35,0
492,293,1,20250322,Consulta saldo,1,592,32,0
493,339,1,20250202,Consulta saldo,1,670,39,0
494,42,1,20250407,Transferencias,1,514,8,0
495,47,2,20250326,Transferencias,1,687,35,0
496,23,1,20250406,Consulta saldo,1,299,29,0
497,386,1,20250409,Consulta saldo,1,743,43,0
498,388,2,20250103,Bloqueo tarjeta,0,633,15,0
499,480,2,20250427,Transferencias,0,516,37,0
500,258,1,20250410,Crédito,0,614,34,0
501,486,1,20250620,Bloqueo tarjeta,0,201,14,0
502,422,2,20250202,Bloqueo tarjeta,0,672,10,0
503,199,4,20250311,Consulta saldo,0,599,26,0
504,320,2,20250317,Crédito,0,631,34,0
505,494,1,20250114,Transferencias,1,132,7,0
506,177,1,20250525,Transferencias,1,450,17,0
507,142,2,20250421,Consulta saldo,1,442,10,0
508,451,3,20250520,Bloqueo tarjeta,1,369,45,0
509,11,3,20250202,Inversiones,0,375,20,1
510,69,3,20250428,Inversiones,1,337,48,0
511,331,3,20250425,Bloqueo tarjeta,1,121,13,0
512,265,4,20250407,Bloqueo tarjeta,1,412,4,0
513,70,1,20250526,Bloqueo tarjeta,1,829,34,0
514,30,1,20250501,Consulta saldo,0,285,3,0
515,204,1,20250323,Bloqueo tarjeta,1,680,8,0
516,492,1,20250601,Bloqueo tarjeta,1,515,38,0
517,426,1,20250512,Consulta saldo,0,735,6,1
518,439,1,20250402,Reclamo,1,256,42,0
519,443,1,20250222,Bloqueo tarjeta,1,829,50,0
520,411,2,20250601,Consulta saldo,1,38,15,0
521,330,3,20250320,Reclamo,1,311,28,0
522,347,1,20250428,Bloqueo tarjeta,1,563,40,0
523,432,1,20250419,Transferencias,1,889,24,0
524,247,2,20250521,Transferencias,1,95,22,0
525,488,1,20250321,Transferencias,1,697,20,0
526,439,2,20250205,Consulta saldo,1,851,39,0
527,255,1,20250422,Consulta saldo,1,332,17,0
528,293,2,20250413,Transferencias,1,865,13,0
529,244,3,20250324,Transferencias,1,717,23,0
530,93,3,20250510,Inversiones,0,330,7,0
531,485,3,20250609,Inversiones,1,726,22,0
532,216,1,20250603,Inversiones,1,837,22,0
533,28,2,20250309,Consulta saldo,1,679,38,0
534,62,2,20250531,Consulta saldo,1,727,25,0
535,103,2,20250510,Consulta saldo,0,380,27,0
536,250,1,20250405,Crédito,1,370,41,0
537,390,2,20250211,Consulta saldo,1,822,11,0
