encuesta_id,cliente_id,canal_id,fecha_id,score_nps,categoria,comentario,producto,fecha_envio
28,170,1,20250128,9,Promotor,Necesito más sucursales,Préstamo personal,2025-01-28T18:31:00
29,68,3,20250118,9,Promotor,Perfecto,Tarjeta crédito,2025-01-18T15:51:00
30,49,1,20250107,10,Promotor,Mejorar tiempos,Préstamo personal,2025-01-07T14:26:00
31,374,1,20250128,10,Promotor,Tardaron mucho,Cuenta corriente,2025-01-28T14:46:00
32,442,1,20250126,10,Promotor,Necesito más sucursales,Tarjeta crédito,2025-01-26T16:28:00
33,94,1,20250114,9,Promotor,Necesito más sucursales,Cuenta corriente,2025-01-14T15:51:00
34,334,4,20250102,9,Promotor,Muy buena atención,Cuenta corriente,2025-01-02T11:10:00
35,247,1,20250116,10,Promotor,Mejorar tiempos,Cuenta corriente,2025-01-16T10:24:00
36,136,4,20250113,9,Promotor,Perfecto,Préstamo personal,2025-01-13T14:44:00
37,98,1,20250105,10,Promotor,Muy buena atención,Nómina,2025-01-05T16:03:00
38,26,2,20250102,10,Promotor,Excelente app,Cuenta corriente,2025-01-02T16:05:00
39,305,1,20250103,9,Promotor,Necesito más sucursales,CDT,2025-01-03T09:56:00
40,305,1,20250119,9,Promotor,Tardaron mucho,CDT,2025-01-19T18:37:00
41,134,1,20250130,10,Promotor,Muy fácil de usar,Tarjeta crédito,2025-01-30T12:25:00
42,331,1,20250122,9,Promotor,Muy fácil de usar,Cuenta corriente,2025-01-22T08:29:00
43,276,1,20250103,9,Promotor,Sin comentario,Tarjeta crédito,2025-01-03T13:56:00
44,126,1,20250129,9,Promotor,Excelente app,CDT,2025-01-29T16:45:00
45,414,2,20250120,10,Promotor,Muy buena atención,Nómina,2025-01-20T12:59:00
46,450,1,20250131,9,Promotor,Tardaron mucho,Cuenta corriente,2025-01-31T16:09:00
47,310,1,20250110,10,Promotor,Muy fácil de usar,Tarjeta crédito,2025-01-10T18:40:00
48,251,1,20250117,10,Promotor,Muy buena atención,Cuenta corriente,2025-01-17T18:27:00
49,2,1,20250102,10,Promotor,Excelente app,Préstamo personal,2025-01-02T10:47:00
50,362,2,20250118,10,Promotor,Muy buena atención,Cuenta corriente,2025-01-18T09:56:00
51,19,3,20250118,9,Promotor,Excelente app,CDT,2025-01-18T10:02:00
52,461,4,20250112,10,Promotor,Muy buena atención,Préstamo personal,2025-01-12T11:43:00
53,53,1,20250122,9,Promotor,Mejorar tiempos,Nómina,2025-01-22T10:59:00
54,84,4,20250128,9,Promotor,Excelente app,CDT,2025-01-28T08:11:00
55,477,2,20250126,10,Promotor,Necesito más sucursales,Préstamo personal,2025-01-26T10:50:00
56,447,1,20250113,9,Promotor,Perfecto,Tarjeta crédito,2025-01-13T11:52:00
57,157,3,20250112,10,Promotor,Necesito más sucursales,Tarjeta crédito,2025-01-12T08:42:00
58,169,1,20250113,9,Promotor,Tardaron mucho,Préstamo personal,2025-01-13T13:41:00
59,432,2,20250122,10,Promotor,Muy buena atención,Cuenta corriente,2025-01-22T12:11:00
60,56,2,20250102,10,Promotor,Muy fácil de usar,Préstamo personal,2025-01-02T14:38:00
61,461,2,20250113,9,Promotor,Sin comentario,Cuenta corriente,2025-01-13T14:00:00
62,221,1,20250112,9,Promotor,Muy fácil de usar,Nómina,2025-01-12T13:42:00
63,461,1,20250124,9,Promotor,Sin comentario,CDT,2025-01-24T13:25:00
64,66,1,20250118,10,Promotor,Mejorar tiempos,Tarjeta crédito,2025-01-18T17:36:00
65,281,3,20250113,10,Promotor,Sin comentario,Préstamo personal,2025-01-13T11:27:00
66,227,2,20250115,10,Promotor,Necesito más sucursales,Nómina,2025-01-15T15:50:00
67,44,1,20250122,9,Promotor,Muy fácil de usar,Cuenta corriente,2025-01-22T11:43:00
68,413,1,20250108,10,Promotor,Muy buena atención,Cuenta corriente,2025-01-08T11:30:00
69,213,4,20250115,9,Promotor,Necesito más sucursales,CDT,2025-01-15T15:25:00
70,336,3,20250105,9,Promotor,Tardaron mucho,CDT,2025-01-05T11:11:00
71,286,1,20250102,10,Promotor,Tardaron mucho,CDT,2025-01-02T10:51:00
72,272,4,20250122,10,Promotor,Muy fácil de usar,CDT,2025-01-22T17:52:00
73,465,2,20250127,10,Promotor,Excelente app,CDT,2025-01-27T15:16:00
74,327,1,20250127,9,Promotor,Perfecto,Tarjeta crédito,2025-01-27T12:28:00
75,147,1,20250123,9,Promotor,Muy fácil de usar,Préstamo personal,2025-01-23T16:05:00
76,119,2,20250105,9,Promotor,Excelente app,Tarjeta crédito,2025-01-05T09:26:00
77,278,2,20250111,10,Promotor,Muy buena atención,Tarjeta crédito,2025-01-11T14:24:00
78,451,3,20250128,9,Promotor,Mejorar tiempos,CDT,2025-01-28T08:22:00
79,200,4,20250125,10,Promotor,Mejorar tiempos,Nómina,2025-01-25T16:51:00
80,113,1,20250116,9,Promotor,Perfecto,Cuenta corriente,2025-01-16T14:21:00
81,85,3,20250124,10,Promotor,Excelente app,Nómina,2025-01-24T16:01:00
82,289,2,20250119,10,Promotor,Tardaron mucho,CDT,2025-01-19T10:55:00
83,26,1,20250106,10,Promotor,Muy fácil de usar,Tarjeta crédito,2025-01-06T15:20:00
84,451,1,20250125,10,Promotor,Mejorar tiempos,Préstamo personal,2025-01-25T09:30:00
85,277,1,20250124,9,Promotor,Muy fácil de usar,Tarjeta crédito,2025-01-24T18:04:00
86,16,4,20250125,9,Promotor,Necesito más sucursales,Cuenta corriente,2025-01-25T17:09:00
87,243,2,20250105,9,Promotor,Necesito más sucursales,CDT,2025-01-05T12:49:00
88,311,2,20250106,10,Promotor,Tardaron mucho,Tarjeta crédito,2025-01-06T12:06:00
89,160,2,20250130,9,Promotor,Mejorar tiempos,CDT,2025-01-30T11:04:00
90,357,3,20250104,9,Promotor,Tardaron mucho,Nómina,2025-01-04T08:22:00
91,190,1,20250122,10,Promotor,Muy fácil de usar,Cuenta corriente,2025-01-22T14:52:00
92,222,4,20250104,10,Promotor,Perfecto,Tarjeta crédito,2025-01-04T14:11:00
93,414,4,20250120,10,Promotor,Perfecto,CDT,2025-01-20T14:52:00
94,437,1,20250111,10,Promotor,Tardaron mucho,Préstamo personal,2025-01-11T15:15:00
95,313,2,20250119,10,Promotor,Muy fácil de usar,Cuenta corriente,2025-01-19T15:54:00
96,250,1,20250106,10,Promotor,Sin comentario,Préstamo personal,2025-01-06T12:56:00
97,6,2,20250118,10,Promotor,Necesito más sucursales,Cuenta corriente,2025-01-18T11:46:00
98,285,3,20250116,10,Promotor,Perfecto,CDT,2025-01-16T15:50:00
99,151,1,20250103,9,Promotor,Necesito más sucursales,Préstamo personal,2025-01-03T18:37:00
100,284,2,20250116,10,Promotor,Mejorar tiempos,Nómina,2025-01-16T13:22:00
101,157,1,20250109,10,Promotor,Tardaron mucho,Tarjeta crédito,2025-01-09T13:07:00
102,111,3,20250107,9,Promotor,Sin comentario,Nómina,2025-01-07T16:38:00
103,427,1,20250104,10,Promotor,Necesito más sucursales,Préstamo personal,2025-01-04T10:19:00
104,274,1,20250123,9,Promotor,Muy buena atención,Cuenta corriente,2025-01-23T16:18:00
105,445,3,20250121,9,Promotor,Tardaron mucho,Cuenta corriente,2025-01-21T17:18:00
106,226,1,20250116,10,Promotor,Muy buena atención,Préstamo personal,2025-01-16T15:07:00
107,252,1,20250113,9,Promotor,Muy buena atención,Tarjeta crédito,2025-01-13T10:51:00
108,128,1,20250103,10,Promotor,Mejorar tiempos,Nómina,2025-01-03T17:50:00
109,268,2,20250125,9,Promotor,Perfecto,Préstamo personal,2025-01-25T17:27:00
110,318,1,20250119,10,Promotor,Tardaron mucho,Tarjeta crédito,2025-01-19T18:13:00
111,42,1,20250122,10,Promotor,Excelente app,Nómina,2025-01-22T09:10:00
112,231,3,20250114,9,Promotor,Perfecto,Préstamo personal,2025-01-14T08:14:00
113,145,3,20250123,10,Promotor,Perfecto,Cuenta corriente,2025-01-23T18:14:00
114,406,2,20250126,10,Promotor,Necesito más sucursales,CDT,2025-01-26T09:34:00
115,77,4,20250121,9,Promotor,Excelente app,Cuenta corriente,2025-01-21T08:10:00
116,384,3,20250120,10,Promotor,Sin comentario,CDT,2025-01-20T09:29:00
117,207,4,20250123,10,Promotor,Perfecto,CDT,2025-01-23T09:38:00
118,222,3,20250129,9,Promotor,Sin comentario,Cuenta corriente,2025-01-29T09:14:00
119,345,3,20250125,9,Promotor,Muy buena atención,Tarjeta crédito,2025-01-25T15:33:00
120,143,1,20250130,10,Promotor,Mejorar tiempos,CDT,2025-01-30T09:30:00
121,171,1,20250114,10,Promotor,Tardaron mucho,Tarjeta crédito,2025-01-14T13:26:00
122,340,4,20250110,10,Promotor,Muy buena atención,CDT,2025-01-10T09:20:00
123,60,4,20250111,10,Promotor,Mejorar tiempos,Nómina,2025-01-11T08:42:00
124,28,1,20250114,10,Promotor,Muy fácil de usar,Nómina,2025-01-14T15:40:00
125,27,1,20250125,10,Promotor,Excelente app,Préstamo personal,2025-01-25T15:56:00
126,15,4,20250104,10,Promotor,Necesito más sucursales,Tarjeta crédito,2025-01-04T12:35:00
127,209,1,20250118,9,Promotor,Tardaron mucho,CDT,2025-01-18T09:41:00
128,478,3,20250116,9,Promotor,Sin comentario,CDT,2025-01-16T15:30:00
129,283,1,20250115,9,Promotor,Necesito más sucursales,Nómina,2025-01-15T16:47:00
130,36,1,20250128,9,Promotor,Mejorar tiempos,Préstamo personal,2025-01-28T16:17:00
131,372,1,20250110,9,Promotor,Perfecto,Tarjeta crédito,2025-01-10T15:34:00
132,171,2,20250112,10,Promotor,Mejorar tiempos,CDT,2025-01-12T13:55:00
133,123,2,20250123,9,Promotor,Necesito más sucursales,CDT,2025-01-23T08:20:00
134,468,3,20250123,10,Promotor,Mejorar tiempos,Tarjeta crédito,2025-01-23T15:02:00
135,495,2,20250117,9,Promotor,Tardaron mucho,CDT,2025-01-17T09:33:00
136,370,1,20250101,10,Promotor,Excelente app,Cuenta corriente,2025-01-01T15:50:00
137,320,3,20250111,10,Promotor,Tardaron mucho,Préstamo personal,2025-01-11T18:54:00
138,163,2,20250131,10,Promotor,Perfecto,Nómina,2025-01-31T08:39:00
139,324,3,20250108,9,Promotor,Sin comentario,Tarjeta crédito,2025-01-08T09:27:00
140,325,3,20250125,9,Promotor,Tardaron mucho,CDT,2025-01-25T10:44:00
141,15,1,20250129,10,Promotor,Muy buena atención,Préstamo personal,2025-01-29T13:23:00
142,126,2,20250105,10,Promotor,Excelente app,Tarjeta crédito,2025-01-05T10:05:00
143,350,1,20250120,10,Promotor,Excelente app,Tarjeta crédito,2025-01-20T15:40:00
144,131,2,20250115,10,Promotor,Perfecto,Préstamo personal,2025-01-15T18:34:00
145,227,4,20250103,9,Promotor,Sin comentario,CDT,2025-01-03T12:29:00
146,197,4,20250107,10,Promotor,Tardaron mucho,Tarjeta crédito,2025-01-07T14:36:00
147,152,4,20250119,10,Promotor,Sin comentario,Cuenta corriente,2025-01-19T18:25:00
148,290,4,20250101,10,Promotor,Muy buena atención,Nómina,2025-01-01T15:53:00
149,410,1,20250125,10,Promotor,Muy fácil de usar,Tarjeta crédito,2025-01-25T18:12:00
150,387,3,20250122,10,Promotor,Excelente app,Cuenta corriente,2025-01-22T18:41:00
151,404,2,20250110,9,Promotor,Muy fácil de usar,Tarjeta crédito,2025-01-10T09:58:00
152,383,2,20250111,10,Promotor,Necesito más sucursales,Tarjeta crédito,2025-01-11T16:56:00
153,257,4,20250117,10,Promotor,Excelente app,Préstamo personal,2025-01-17T15:51:00
154,446,1,20250124,10,Promotor,Tardaron mucho,CDT,2025-01-24T09:09:00
155,347,3,20250128,9,Promotor,Mejorar tiempos,Nómina,2025-01-28T13:05:00
156,136,2,20250101,10,Promotor,Perfecto,Préstamo personal,2025-01-01T18:47:00
157,196,3,20250119,10,Promotor,Muy fácil de usar,Cuenta corriente,2025-01-19T18:14:00
158,318,4,20250101,10,Promotor,Muy fácil de usar,Nómina,2025-01-01T11:41:00
159,422,2,20250121,9,Promotor,Sin comentario,CDT,2025-01-21T09:08:00
160,20,1,20250131,9,Promotor,Perfecto,Cuenta corriente,2025-01-31T09:15:00
161,233,1,20250113,9,Promotor,Mejorar tiempos,Nómina,2025-01-13T10:56:00
162,51,3,20250121,10,Promotor,Mejorar tiempos,Préstamo personal,2025-01-21T08:44:00
163,228,2,20250107,10,Promotor,Necesito más sucursales,Préstamo personal,2025-01-07T09:43:00
164,462,4,20250118,10,Promotor,Muy fácil de usar,Cuenta corriente,2025-01-18T14:17:00
165,63,4,20250131,9,Promotor,Perfecto,Cuenta corriente,2025-01-31T18:13:00
166,403,1,20250102,9,Promotor,Excelente app,Nómina,2025-01-02T11:04:00
167,111,3,20250119,9,Promotor,Necesito más sucursales,Préstamo personal,2025-01-19T10:50:00
168,440,4,20250109,9,Promotor,Excelente app,Nómina,2025-01-09T12:51:00
169,339,4,20250104,9,Promotor,Excelente app,Cuenta corriente,2025-01-04T13:50:00
170,166,1,20250119,9,Promotor,Sin comentario,Cuenta corriente,2025-01-19T10:47:00
171,59,3,20250117,10,Promotor,Perfecto,CDT,2025-01-17T13:32:00
172,258,1,20250115,9,Promotor,Muy buena atención,Nómina,2025-01-15T12:29:00
173,246,3,20250102,9,Promotor,Mejorar tiempos,Cuenta corriente,2025-01-02T15:45:00
174,461,1,20250103,10,Promotor,Excelente app,Cuenta corriente,2025-01-03T10:17:00
175,306,2,20250113,10,Promotor,Perfecto,Nómina,2025-01-13T17:27:00
176,360,1,20250126,9,Promotor,Necesito más sucursales,CDT,2025-01-26T15:56:00
177,174,3,20250114,9,Promotor,Mejorar tiempos,CDT,2025-01-14T09:20:00
178,341,1,20250111,10,Promotor,Excelente app,CDT,2025-01-11T09:05:00
179,222,1,20250103,9,Promotor,Muy fácil de usar,Tarjeta crédito,2025-01-03T16:03:00
180,63,2,20250122,10,Promotor,Mejorar tiempos,Cuenta corriente,2025-01-22T12:38:00
181,54,2,20250112,10,Promotor,Necesito más sucursales,Tarjeta crédito,2025-01-12T18:30:00
182,56,1,20250128,9,Promotor,Muy fácil de usar,Cuenta corriente,2025-01-28T12:36:00
183,220,3,20250126,9,Promotor,Muy buena atención,Nómina,2025-01-26T18:53:00
184,93,1,20250101,10,Promotor,Sin comentario,Préstamo personal,2025-01-01T13:00:00
185,74,2,20250128,9,Promotor,Mejorar tiempos,Cuenta corriente,2025-01-28T10:47:00
186,383,2,20250103,9,Promotor,Mejorar tiempos,CDT,2025-01-03T15:21:00
187,160,3,20250112,9,Promotor,Tardaron mucho,Cuenta corriente,2025-01-12T10:10:00
188,42,1,20250122,9,Promotor,Mejorar tiempos,CDT,2025-01-22T17:28:00
189,111,3,20250109,10,Promotor,Tardaron mucho,Préstamo personal,2025-01-09T14:07:00
190,348,2,20250122,10,Promotor,Sin comentario,Cuenta corriente,2025-01-22T11:25:00
191,105,1,20250101,9,Promotor,Necesito más sucursales,Tarjeta crédito,2025-01-01T12:18:00
192,4,2,20250104,10,Promotor,Mejorar tiempos,Tarjeta crédito,2025-01-04T10:24:00
193,287,3,20250117,9,Promotor,Muy fácil de usar,Cuenta corriente,2025-01-17T14:55:00
194,10,2,20250114,9,Promotor,Tardaron mucho,Préstamo personal,2025-01-14T17:27:00
195,328,2,20250123,10,Promotor,Tardaron mucho,CDT,2025-01-23T08:20:00
196,486,2,20250126,9,Promotor,Muy fácil de usar,Cuenta corriente,2025-01-26T14:54:00
197,224,2,20250108,9,Promotor,Tardaron mucho,CDT,2025-01-08T12:47:00
198,171,3,20250108,10,Promotor,Tardaron mucho,Nómina,2025-01-08T18:07:00
199,398,1,20250129,9,Promotor,Excelente app,Tarjeta crédito,2025-01-29T09:09:00
200,89,2,20250107,10,Promotor,Tardaron mucho,Tarjeta crédito,2025-01-07T18:31:00
201,289,3,20250125,10,Promotor,Perfecto,Nómina,2025-01-25T18:40:00
202,498,2,20250128,10,Promotor,Excelente app,CDT,2025-01-28T09:30:00
203,156,3,20250121,10,Promotor,Muy buena atención,Préstamo personal,2025-01-21T16:04:00
204,232,1,20250115,10,Promotor,Muy fácil de usar,Préstamo personal,2025-01-15T09:41:00
205,305,2,20250120,9,Promotor,Perfecto,Nómina,2025-01-20T16:50:00
206,466,3,20250115,9,Promotor,Necesito más sucursales,Préstamo personal,2025-01-15T17:30:00
207,32,2,20250131,9,Promotor,Muy fácil de usar,Cuenta corriente,2025-01-31T16:41:00
208,127,3,20250102,9,Promotor,Perfecto,Nómina,2025-01-02T16:39:00
209,191,4,20250112,9,Promotor,Mejorar tiempos,CDT,2025-01-12T13:43:00
210,324,2,20250126,9,Promotor,Tardaron mucho,Préstamo personal,2025-01-26T09:35:00
211,130,3,20250110,10,Promotor,Excelente app,Préstamo personal,2025-01-10T09:37:00
212,180,1,20250130,9,Promotor,Mejorar tiempos,Tarjeta crédito,2025-01-30T17:45:00
213,287,1,20250110,9,Promotor,Muy fácil de usar,Tarjeta crédito,2025-01-10T18:44:00
214,344,2,20250121,9,Promotor,Muy fácil de usar,Cuenta corriente,2025-01-21T13:19:00
215,110,1,20250131,9,Promotor,Perfecto,Tarjeta crédito,2025-01-31T11:08:00
216,152,3,20250103,7,Pasivo,Tardaron mucho,Nómina,2025-01-03T16:53:00
217,173,4,20250122,7,Pasivo,Excelente app,Nómina,2025-01-22T14:09:00
218,426,3,20250106,7,Pasivo,Excelente app,CDT,2025-01-06T08:26:00
219,369,1,20250122,8,Pasivo,Perfecto,Nómina,2025-01-22T12:48:00
220,274,1,20250108,8,Pasivo,Perfecto,Tarjeta crédito,2025-01-08T13:43:00
221,394,1,20250115,8,Pasivo,Mejorar tiempos,Nómina,2025-01-15T16:26:00
222,103,3,20250127,7,Pasivo,Excelente app,Préstamo personal,2025-01-27T08:41:00
223,191,2,20250128,8,Pasivo,Tardaron mucho,Nómina,2025-01-28T09:18:00
224,83,1,20250125,7,Pasivo,Excelente app,CDT,2025-01-25T09:58:00
225,231,4,20250127,7,Pasivo,Muy buena atención,CDT,2025-01-27T08:25:00
226,198,4,20250108,8,Pasivo,Muy fácil de usar,Tarjeta crédito,2025-01-08T08:20:00
227,366,2,20250127,7,Pasivo,Excelente app,Tarjeta crédito,2025-01-27T08:18:00
228,426,1,20250123,8,Pasivo,Perfecto,CDT,2025-01-23T17:00:00
229,132,1,20250101,7,Pasivo,Excelente app,Nómina,2025-01-01T17:33:00
230,398,1,20250104,8,Pasivo,Sin comentario,Cuenta corriente,2025-01-04T08:15:00
231,407,2,20250121,8,Pasivo,Tardaron mucho,Cuenta corriente,2025-01-21T15:38:00
232,264,2,20250121,7,Pasivo,Excelente app,Préstamo personal,2025-01-21T14:00:00
233,293,2,20250108,8,Pasivo,Tardaron mucho,Nómina,2025-01-08T13:04:00
234,448,2,20250113,7,Pasivo,Mejorar tiempos,Préstamo personal,2025-01-13T12:47:00
235,404,1,20250112,7,Pasivo,Necesito más sucursales,Cuenta corriente,2025-01-12T17:47:00
236,23,1,20250105,8,Pasivo,Muy fácil de usar,Tarjeta crédito,2025-01-05T18:29:00
237,94,3,20250121,8,Pasivo,Tardaron mucho,CDT,2025-01-21T08:18:00
238,406,1,20250102,7,Pasivo,Muy buena atención,Préstamo personal,2025-01-02T12:32:00
239,279,2,20250127,8,Pasivo,Muy buena atención,Tarjeta crédito,2025-01-27T12:22:00
240,336,1,20250128,7,Pasivo,Tardaron mucho,Préstamo personal,2025-01-28T14:56:00
241,226,4,20250124,8,Pasivo,Mejorar tiempos,Préstamo personal,2025-01-24T10:31:00
242,474,3,20250112,8,Pasivo,Sin comentario,Cuenta corriente,2025-01-12T14:05:00
243,422,1,20250120,8,Pasivo,Sin comentario,Préstamo personal,2025-01-20T09:05:00
244,152,1,20250122,8,Pasivo,Mejorar tiempos,Tarjeta crédito,2025-01-22T15:22:00
245,373,4,20250102,8,Pasivo,Muy fácil de usar,Nómina,2025-01-02T14:17:00
246,344,2,20250103,7,Pasivo,Muy fácil de usar,Nómina,2025-01-03T18:10:00
247,435,2,20250105,7,Pasivo,Perfecto,Cuenta corriente,2025-01-05T10:04:00
248,331,1,20250125,7,Pasivo,Mejorar tiempos,Nómina,2025-01-25T08:38:00
249,231,4,20250122,7,Pasivo,Muy fácil de usar,CDT,2025-01-22T09:36:00
250,188,2,20250117,7,Pasivo,Sin comentario,Tarjeta crédito,2025-01-17T09:01:00
251,266,2,20250116,7,Pasivo,Tardaron mucho,Préstamo personal,2025-01-16T12:45:00
252,314,1,20250107,8,Pasivo,Perfecto,Tarjeta crédito,2025-01-07T09:08:00
253,89,4,20250115,7,Pasivo,Perfecto,Cuenta corriente,2025-01-15T18:54:00
254,178,3,20250122,8,Pasivo,Sin comentario,Préstamo personal,2025-01-22T10:45:00
255,186,2,20250126,7,Pasivo,Tardaron mucho,Tarjeta crédito,2025-01-26T10:15:00
256,185,2,20250101,8,Pasivo,Muy fácil de usar,CDT,2025-01-01T16:08:00
257,159,2,20250103,7,Pasivo,Perfecto,Nómina,2025-01-03T14:49:00
258,295,1,20250127,8,Pasivo,Muy fácil de usar,Cuenta corriente,2025-01-27T15:29:00
259,450,3,20250105,8,Pasivo,Excelente app,Tarjeta crédito,2025-01-05T14:32:00
260,64,2,20250127,7,Pasivo,Sin comentario,Tarjeta crédito,2025-01-27T10:20:00
261,486,4,20250112,7,Pasivo,Sin comentario,Cuenta corriente,2025-01-12T12:12:00
262,321,1,20250105,8,Pasivo,Tardaron mucho,Nómina,2025-01-05T18:10:00
263,338,2,20250106,7,Pasivo,Muy fácil de usar,Nómina,2025-01-06T08:52:00
264,24,4,20250103,7,Pasivo,Sin comentario,Tarjeta crédito,2025-01-03T17:26:00
265,456,2,20250116,7,Pasivo,Sin comentario,Préstamo personal,2025-01-16T15:15:00
266,233,1,20250110,8,Pasivo,Muy buena atención,Tarjeta crédito,2025-01-10T15:26:00
267,105,1,20250115,8,Pasivo,Excelente app,Préstamo personal,2025-01-15T13:46:00
268,67,3,20250113,8,Pasivo,Tardaron mucho,Préstamo personal,2025-01-13T11:29:00
269,231,1,20250109,7,Pasivo,Tardaron mucho,Cuenta corriente,2025-01-09T12:24:00
270,493,4,20250108,8,Pasivo,Excelente app,Préstamo personal,2025-01-08T17:46:00
271,391,1,20250107,8,Pasivo,Perfecto,CDT,2025-01-07T12:31:00
272,484,2,20250103,7,Pasivo,Perfecto,Tarjeta crédito,2025-01-03T11:37:00
273,26,1,20250102,8,Pasivo,Perfecto,Préstamo personal,2025-01-02T16:00:00
274,69,4,20250114,7,Pasivo,Muy fácil de usar,CDT,2025-01-14T13:02:00
275,292,2,20250102,8,Pasivo,Muy fácil de usar,Nómina,2025-01-02T12:04:00
276,231,3,20250117,8,Pasivo,Sin comentario,Nómina,2025-01-17T18:39:00
277,500,1,20250105,7,Pasivo,Muy fácil de usar,Préstamo personal,2025-01-05T16:23:00
278,309,2,20250107,7,Pasivo,Muy buena atención,Cuenta corriente,2025-01-07T08:08:00
279,243,2,20250126,8,Pasivo,Excelente app,Nómina,2025-01-26T16:08:00
280,314,1,20250130,8,Pasivo,Mejorar tiempos,Nómina,2025-01-30T12:37:00
281,425,2,20250117,8,Pasivo,Perfecto,Nómina,2025-01-17T12:30:00
282,170,3,20250112,7,Pasivo,Mejorar tiempos,Nómina,2025-01-12T12:50:00
283,243,1,20250120,7,Pasivo,Necesito más sucursales,Cuenta corriente,2025-01-20T17:30:00
284,323,3,20250117,7,Pasivo,Mejorar tiempos,Tarjeta crédito,2025-01-17T18:15:00
285,486,3,20250119,7,Pasivo,Necesito más sucursales,Cuenta corriente,2025-01-19T15:20:00
286,212,3,20250105,8,Pasivo,Mejorar tiempos,Nómina,2025-01-05T17:58:00
287,435,3,20250128,8,Pasivo,Muy buena atención,Tarjeta crédito,2025-01-28T16:13:00
288,245,2,20250122,8,Pasivo,Muy fácil de usar,Tarjeta crédito,2025-01-22T15:58:00
289,182,3,20250118,8,Pasivo,Sin comentario,Nómina,2025-01-18T15:12:00
290,286,1,20250109,7,Pasivo,Sin comentario,Préstamo personal,2025-01-09T11:44:00
291,246,1,20250111,8,Pasivo,Sin comentario,Préstamo personal,2025-01-11T09:36:00
292,203,3,20250129,8,Pasivo,Excelente app,Préstamo personal,2025-01-29T08:18:00
293,474,2,20250112,7,Pasivo,Sin comentario,CDT,2025-01-12T11:12:00
294,288,3,20250130,8,Pasivo,Excelente app,Cuenta corriente,2025-01-30T17:47:00
295,26,2,20250108,7,Pasivo,Necesito más sucursales,Tarjeta crédito,2025-01-08T08:06:00
296,368,2,20250111,8,Pasivo,Excelente app,Cuenta corriente,2025-01-11T16:59:00
297,335,4,20250114,7,Pasivo,Perfecto,CDT,2025-01-14T18:12:00
298,147,2,20250111,8,Pasivo,Tardaron mucho,Nómina,2025-01-11T11:34:00
299,472,1,20250130,7,Pasivo,Excelente app,Cuenta corriente,2025-01-30T14:50:00
300,480,3,20250106,8,Pasivo,Sin comentario,Cuenta corriente,2025-01-06T08:19:00
301,55,4,20250120,4,Detractor,Muy fácil de usar,Préstamo personal,2025-01-20T15:41:00
302,253,4,20250117,4,Detractor,Excelente app,Nómina,2025-01-17T15:17:00
303,58,1,20250126,1,Detractor,Perfecto,Préstamo personal,2025-01-26T10:00:00
